baseMean log2FoldChange lfcSE stat pvalue padj
EPB41L4B 264.578427381417 -2.94020539417755 0.564669033617809 -5.20695348802782 1.91966185718049e-07 0.000122152600823823
EPN3 196.485043235169 -2.24688429759401 0.632304932992251 -3.55348215766892 0.000380166984736184 0.0225909388207959
EPS8L3 285.523551510467 -1.98998262755278 0.607239534398193 -3.27709662304012 0.00104880471710151 0.045263005991327
ERBB4 535.80286460869 -2.18601772330175 0.649415722281766 -3.36612996621182 0.000762307825387338 0.0366848847660955
ERN2 10.3365712891029 -1.91632774731198 0.590054206933188 -3.24771474348453 0.0011633583912782 0.04849568168652
ERVMER34-1 105.721487149852 -2.07459213829172 0.571611889027574 -3.62937191845505 0.000284111656283096 0.0187974179929198
F2 119.541285487251 -2.4255066544788 0.67933909648596 -3.57039167482822 0.000356447841034317 0.0216015379293486
FAM151A 1200.64291650067 -2.24223459594878 0.550607316856067 -4.07229349720922 4.65524674786977e-05 0.00562660689330516
FAM153B 115.178895313672 -1.76183963811847 0.488643333627736 -3.60557387540398 0.000311463867641087 0.0198842678067489
FAM155B 136.578505501375 -1.46667222312964 0.414640602057229 -3.53721322960843 0.000404373054364623 0.0235177715891899
FAM167A-AS1 2.93727411728477 -3.31947488694954 0.889872574299202 -3.73028114678522 0.000191266221493845 0.0145009438661424
FAM245A 13.4673922418525 -3.25877791896739 0.851885133790247 -3.82537244718462 0.000130574528048428 0.0113393728159518
FAM3B 192.112173233672 -2.1808021997212 0.599832160537647 -3.6356873525529 0.000277240414042971 0.0185191570443272
FER1L6 41.1737201600459 -1.91643364949688 0.523061112343452 -3.66388095821299 0.000248422276721658 0.0170622728789621
FGA 1066.22942309439 -3.41458574358628 0.680045202687793 -5.02111584655044 5.13721625701745e-07 0.000258277804150481
FGFBP1 8.64128612925846 -3.55062994568163 0.863038729680237 -4.1141026741606 3.88688414418703e-05 0.00497590168399328
FGL1 7.330172377437 -2.582537011616 0.718666036489792 -3.59351476275404 0.000326247155318211 0.0203800857210611
FLJ42393 10.4749686308316 -1.95510313683301 0.543081444793877 -3.60001829481591 0.000318194791786018 0.0201881065111158
FOXI1 264.879379920656 -4.08941095904252 1.0389217401466 -3.93620693553441 8.27795997749806e-05 0.00825316424484656
FOXI2 73.1877114441456 -1.76423847596206 0.515037296956195 -3.42545770255569 0.000613764492535655 0.0323085031533063
FRG2C 18.1123488679263 -3.23741143531345 0.671907160121803 -4.81824220287603 1.44828497477862e-06 0.000580252693135842
FRMPD4 13.0766249505406 -1.83240328518069 0.562952514581392 -3.25498729949409 0.00113397436803956 0.047730613720887
FRZB 7526.71890002406 1.29287585264637 0.384183546557258 3.36525565509527 0.000764727664872154 0.0366848847660955
FUT9 49.8806098349323 -2.40084060363058 0.721994295802748 -3.32529026557088 0.000883265266144453 0.0404861102394814
FXYD4 505.974650519784 -4.14306196506268 0.992164985323727 -4.17577925682478 2.96967691633294e-05 0.00416636644745986
GABRA3 5.81478997660037 -1.82309128715709 0.542825121206016 -3.35852416540093 0.000783598695280694 0.0371779775710478
GABRA5 8.42030136196672 -3.00846188280588 0.806730698612048 -3.72920218355621 0.000192086984164413 0.0145009438661424
GABRB2 95.8840373424201 -1.90145334303143 0.454623987589189 -4.18247473723193 2.88353067168543e-05 0.004103304493884
GAL3ST3 55.7178638464428 -2.77574060952407 0.635405172589142 -4.36845768537501 1.25127054249256e-05 0.00237467001638829
GALNT17 123.395268841973 -2.49584574692416 0.592415198673192 -4.21300086917758 2.52000093173968e-05 0.0038126028082649
GAS2L2 16.0746830917392 -2.12517490710103 0.626996786226793 -3.3894510367272 0.000700327144924246 0.0348992759126972
GC 614.760077989365 -2.39508617635567 0.68173299020223 -3.51323202892849 0.000442690705369419 0.0253376016155222
GCGR 102.363031818376 -4.41407051759846 0.835555700470502 -5.28279624579534 1.27226867062445e-07 8.87920409321293e-05
GCM1 33.1165688976459 -1.62989776950552 0.494610424416079 -3.2953162510267 0.000983109734308498 0.0434049386848729
GCOM1 12.1518998238987 -1.8355110019527 0.488692389289064 -3.75596396052526 0.000172675543103279 0.0136843786631482
GDF1 14.9251183885067 -1.58178442753824 0.473412078533564 -3.34124222693675 0.000834044235702888 0.0390932622397752
GFPT2 714.864811302351 -1.97602637116278 0.431306595112952 -4.58148888413193 4.61677148773508e-06 0.00126435254603985
GGT6 618.851353985486 -2.76506776207075 0.705913057651512 -3.91700894621471 8.9654422929181e-05 0.00877680289625715
GJB3 33.4304646775828 -2.19897937489934 0.544210731273125 -4.0406762464148 5.32972933388409e-05 0.00623290238586931
GJB6 9.94854575584935 -2.20965338794283 0.61610602459142 -3.58648235814314 0.000335168728423581 0.0206004984075118
GOLGA6L7 9.30589762977512 -1.8890392372263 0.542118134379669 -3.48455275230348 0.000492960277905971 0.0273115206197002
GPC3 1247.29180285878 -2.17745522388715 0.504043581232254 -4.3199741152617 1.56047503642876e-05 0.00276728503386363
GPRC5A 1336.80468309201 -1.70598875366055 0.495286332358744 -3.44444948750346 0.000572223545115079 0.0308729585999121
GRHL2 237.89317547798 -4.16351355158175 0.7063659914479 -5.8942723771956 3.76335965643293e-09 9.5103582947674e-06
GRIA2 9.67845222735986 -2.67666848329016 0.624010033545699 -4.28946385377975 1.79104958687967e-05 0.00307534585810648
GRM7 6.65609196292414 -1.76726824425086 0.488619738255526 -3.61685807159649 0.000298200703428656 0.0194324464418042
HAGHL 363.835787235443 -1.88486315307694 0.413416926703643 -4.55923072164894 5.13413416837126e-06 0.00130678814979661
HAL 31.29619344436 1.05101248362481 0.265860636008262 3.95324595398978 7.70981149254602e-05 0.00786800809628458
HAMP 89.3017905518099 -1.50964848983587 0.46171672616989 -3.26964219459615 0.0010768359977948 0.045951374383216
HCN2 45.8290671063871 -1.27578516611142 0.384736265594941 -3.31599924467373 0.000913160756171558 0.0413704789589433
HELT 2.82232249414374 -3.72841008467893 1.10678177741393 -3.36869485996653 0.000755249903646472 0.0364832321893553
HEPACAM2 159.644125025841 -3.79735093869313 0.851832981289613 -4.45785854985823 8.27824964146573e-06 0.00188526243150643
HGC6.3 6.26283221645398 -2.81168569692163 0.832319063579789 -3.37813444381367 0.000729793911776387 0.0357457318971483
HHATL 37.5514678290288 -3.51477079756311 0.738181923909098 -4.76138832951961 1.92265678023113e-06 0.000693277990671673
HMGA2 50.7970303754906 -2.7008264046116 0.637973578925861 -4.23344554355826 2.30137928395013e-05 0.00368817339320453
HMGA2-AS1 22.9170776138994 -1.85951768394032 0.573428738847598 -3.24280517868242 0.00118359114362418 0.0489407692969719
HP 931.560311770819 -5.3048019517331 0.741180972647338 -7.15722900007199 8.23241149260885e-13 8.90541113212962e-09
HPCAL4 70.6498915389859 -1.88207255693108 0.563576228494531 -3.33951728581353 0.00083924127784919 0.0392159504239033
HPD 527.442259916498 -2.26648555291797 0.544295506241196 -4.16407177154539 3.12621772151517e-05 0.00418836729888059
HPR 12.1413078235342 -3.35015588978858 0.725366738111187 -4.61856839274459 3.86396626099062e-06 0.00119424157223617
HRG 112.573784672077 -3.19792616148756 0.854276459033861 -3.743432383826 0.000181523466487259 0.014229203613956
HS3ST3A1 35.8891637689335 -1.67292883194679 0.398815476669655 -4.19474401022933 2.73179930319949e-05 0.0040135536844587
HS6ST2 163.810229698656 -3.07370326814506 0.649964226304525 -4.7290345279787 2.25590020460922e-06 0.000762600014480008
HTR3A 9.9259098778653 -1.83906558876473 0.535646436425261 -3.43335727394751 0.000596155978285651 0.0316900112781574
HTR3B 3.51421725960258 -3.73591117221458 1.11271728732881 -3.3574666402308 0.000786602348464317 0.0372388223392243
HYAL4 4.76326601999473 -2.13333459180036 0.604416425217942 -3.52957746148463 0.000416223838443821 0.024142098511346
IGFBP1 377.028350456726 -3.81215123833555 0.595129869533143 -6.40557873750487 1.49800052029804e-10 5.40154020944135e-07
IGFN1 309.529839247394 -2.99104928789333 0.804510636292945 -3.71784927751311 0.000200926082116462 0.014836299612934
IL20RB 1292.82658738626 -3.29286927317929 0.600417885116361 -5.4842957793323 4.15119722639033e-08 4.49055759964774e-05
IL34 625.029288174481 -1.10381947611693 0.310716395933569 -3.55249832504149 0.000381591447987579 0.0225909388207959
INHBE 161.313087651321 -2.12069494659531 0.464031174238396 -4.57015619710457 4.87360835918351e-06 0.00127036767290283
INPP5J 409.858107701536 -2.6418330224983 0.489133854435066 -5.40104308574088 6.62545087288333e-08 5.97256790145129e-05
INSRR 40.4894863463309 -2.42905168368703 0.579648613632336 -4.19055894650642 2.78268108467209e-05 0.0040135536844587
INSYN1 186.745675040552 -1.55815592339403 0.379310190188206 -4.10786729093912 3.99329431336053e-05 0.00503700469943635
IRX1 63.4290484871756 -1.7407487673906 0.476680783307575 -3.65181234139953 0.000260396142587442 0.0177159451096833
IRX2 142.563389241345 -2.09180321984945 0.50428591879633 -4.14805002852812 3.35319133916512e-05 0.00442355455017302
ISM1 236.402150976101 -1.25373068559005 0.342135687992841 -3.66442534231122 0.000247894533424363 0.0170622728789621
ISX 2.09933454917738 -3.29319621933783 0.993127267821617 -3.31598610373604 0.000913203695690548 0.0413704789589433
ITIH1 27.2470833283985 -2.64325766884506 0.58642650723781 -4.50739800507202 6.56274602491714e-06 0.0015776112249898
ITIH2 42.8764252371211 -1.25685384124906 0.329633864726898 -3.81287839552032 0.000137357704264981 0.0117278143832006
ITIH3 190.479167489069 -1.31399136803225 0.352776194261049 -3.72471666004741 0.000195534716358161 0.0146380400983004
ITIH4 41.2546461216715 -1.33917516505389 0.394976081901691 -3.3905221769535 0.00069759610204367 0.0348992759126972
KBTBD12 17.0298906435073 -1.99437961006219 0.557361412486163 -3.57825203787624 0.000345899815705662 0.0210804014444845
KCNJ13 196.356263826959 -3.41554574742038 0.620891954045742 -5.50103077542658 3.77577290598939e-08 4.29941299058319e-05
KCNS1 129.615369541862 -2.90991197760149 0.705364625726769 -4.12540106417058 3.70089253281912e-05 0.00479453951781686
KCTD8 10.9934105331932 -2.2174492166789 0.577029639808421 -3.8428688297799 0.000121604468770256 0.0107520266638439
KIF25-AS1 36.8444412112791 -2.73750929707198 0.725105651228976 -3.77532473017166 0.000159799352297199 0.0128522638920071
KLB 63.2192368211619 -1.68723590113199 0.426537837709647 -3.95565352464819 7.63257133550521e-05 0.00786800809628458
KLHL4 405.790087059157 -1.63938316677306 0.416956655528169 -3.93178318426507 8.43180956032654e-05 0.0083679908182415
KLK1 362.800820115398 -4.2858920672911 0.845604189026837 -5.06843760107612 4.01094426807231e-07 0.000211650681072547
